leverans_id,prenumeration_id,kund_id,pren_startdatum,paus_från,paus_till,pren_avslutsdatum,kasstyp,kostpreferens,antal_portioner,leveransvecka,leveransdatum,postnummer,veckapris,leveransstatus,recept_1,recept_2,recept_3,omdöme_text,omdömesdatum,omdömesbetyg
LEV-2024-000011,PREN-1035,KUND-05034,2024-05-09,,,2024-07-22,Klassisk,Standard,2,2024-W27,2024-07-03,60055,499,Missad,Panerad fisk med remouladsås,Laxfile med potatismos,Köttfärssås med pasta,,,
LEV-2024-000012,PREN-1038,KUND-05037,2024-06-09,,,2024-08-05,Klassisk,Laktosfri,2,2024-W27,2024-07-03,10738,529,Levererad,Kyckling Tikka Masala,Kycklinggryta med ris,Panerad fisk med remouladsås,,,
LEV-2024-000013,PREN-1039,KUND-05038,2024-05-29,,,,Klassisk,Standard,2,2024-W27,2024-07-01,50454,499,Levererad,Kyckling Tikka Masala,Kycklinggryta med ris,Fläskfilé med gräddsås,,,
LEV-2024-000014,PREN-1054,KUND-05053,2024-05-11,,,,Family,Standard,4,2024-W27,2024-07-01,21617,719,Levererad,Köttbullar med makaroner,Fiskpinnar med potatismos,Pizza med färskost,Överraskad över hur gott det blev! Ny favoriträtt.,2024-07-04,5
LEV-2024-000015,PREN-1055,KUND-05054,2024-04-07,,,,Snabb & Enkel,Laktosfri,2,27,2024-07-03,10548,489,levererad,Wrap med kyckling,15-minuters wok,Snabb pasta pesto,,,
LEV-2024-000016,PREN-1060,KUND-05059,2024-04-15,2024-06-10,2024-06-24,2024-08-14,Snabb & Enkel,Standard,4,2024-W27,2024-07-02,41013,659,Levererad,Snabb tomatsoppa,Ramen-nudlar,Sallad med räkor,Gott men för lite grönsaker i familjevarianten.,2024-07-08,3
LEV-2024-000017,PREN-1062,KUND-05061,2024-06-20,,,,Vegetarisk,Nötfri,2,2024-W27,2024-07-02,70319,499,Levererad,Grönsaksgratäng,Pasta med pesto och mozarella,Vegetarisk lasagne,Älskar att slippa planera middagar. Tack!,2024-07-05,4
LEV-2024-000018,PREN-1068,KUND-05067,2024-06-12,,,2024-08-05,Quick,Laktosfri,2,2024-W27,2024-07-01,10320,489,LEVERERAD,Quesadillas,Toast med avokado och ägg,Wrap med kyckling,Tråkiga recept i snabb-kassen. Ingen inspiration.,2024-07-04,2
LEV-2024-000019,PREN-1071,KUND-05070,2024-06-19,,,2024-07-22,KLASSISK,Standard,2,2024-W27,2024-07-02,SE-108 98,499,levererad,Kycklinggryta med ris,Panerad fisk med remouladsås,Biff med bearnaise,,,
LEV-2024-000020,PREN-1076,KUND-05075,2024-04-23,,,,Express,Standard,0,2024-W27,2024-07-01,21938,659,Levererad,Toast med avokado och ägg,Quesadillas,Sallad med räkor,Perfekta portionsstorlekar och fräscha ingredienser.,2024-07-03,4
LEV-2024-000021,PREN-1077,KUND-05076,2024-06-17,,,2024-09-10,Snabb & Enkel,Fläskfri,2,2024-W27,2024-07-02,40922,0,Levererad,Ramen-nudlar,Quesadillas,15-minuters wok,,,
LEV-2024-000022,PREN-1080,KUND-05079,2024-04-20,,,2024-08-19,KLASSISK,Laktosfri,4,2024-W27,2024-07-01,50466,729,Levererad,Kyckling Tikka Masala,Laxfile med potatismos,Pasta Carbonara,,,
LEV-2024-000023,PREN-1084,KUND-05083,2024-06-23,,,,Familj,Glutenfri,4,2024-W27,2024-07-03,40494,769,Missad,Barnens favorit-pasta,Köttbullar med makaroner,Pannkakor med sylt,Missad leverans IGEN. Funderar på att avsluta.,2024-07-06,1
LEV-2024-000024,PREN-1086,KUND-05085,2024-05-20,,,2024-07-22,Vegetarian,Standard,4,2024-W27,2024-07-02,11036,679,Levererad,Thai-curry med tofu,Vegetarisk lasagne,Pasta med pesto och mozarella,Bra variation och tydliga instruktioner.,2024-07-07,5
LEV-2024-000025,PREN-1088,KUND-05087,2024-04-25,,,,Klassisk,GF,2,2024-W27,2024-07-03,70273,549,Levererad,Kycklinggryta med ris,Fläskfilé med gräddsås,Panerad fisk med remouladsås,,,
LEV-2024-000026,PREN-1092,KUND-05091,2024-06-23,,,,Snabb & Enkel,Fläskfri,2,2024-W27,2024-07-01,11615,459,Levererad,Sallad med räkor,Toast med avokado och ägg,15-minuters wok,Lagom. Varken bättre eller sämre än förväntat.,2024-07-05,3
LEV-2024-000027,PREN-1094,KUND-05093,2024-04-27,,,,Snabb & enkel,Standard,4,2024-W27,2024-07-01,20262,659,Levererad,Snabb tomatsoppa,Sallad med räkor,Snabb pasta pesto,,,
LEV-2024-000028,PREN-1097,KUND-05096,2024-04-27,,,,Familj,LAKTOSFRI,4,2024-W27,2024-07-02,10413,"749,00",Levererad,Fiskpinnar med potatismos,Barnens favorit-pasta,Korv stroganoff,Perfekta portionsstorlekar och fräscha ingredienser.,2024-07-07,4
LEV-2024-000029,PREN-1098,KUND-05097,2024-06-03,,,,Vegetarisk,Standard,4,2024-W27,2024-07-03,10188,679,Levererad,Falafel med hummus,Vegansk burrito bowl,Svamprisotto,Barnen älskade Falafel med hummus. Kommer definitivt beställa igen!,2024-07-05,5
LEV-2024-000030,PREN-1100,KUND-05099,2024-05-12,,,2024-08-26,Klassisk,Nötfri,6,2024-W27,2024-07-02,10698,919,Levererad,Fläskfilé med gräddsås,Pasta Carbonara,Kycklinggryta med ris,Lagom. Varken bättre eller sämre än förväntat.,2024-07-04,3
LEV-2024-000031,PREN-1114,KUND-05113,2024-04-07,,,,Standard,Standard,6,2024-W27,2024-07-01,41318,899,Levererad,Kycklinggryta med ris,Fläskfilé med gräddsås,Biff med bearnaise,,,
LEV-2024-000032,PREN-1123,KUND-05122,2024-04-25,,,2024-08-12,Familj,Standard,4,2024-W27,2024-07-02,SE-412 81,719,Levererad,Fiskpinnar med potatismos,Tacos,Barnens favorit-pasta,,,
LEV-2024-000033,PREN-1125,KUND-05124,2024-05-26,,,2024-07-29,Standard,Standard,4,2024-W27,2024-07-03,11857,699,Levererad,Köttfärssås med pasta,Fläskfilé med gräddsås,Biff med bearnaise,Perfekta portionsstorlekar och fräscha ingredienser.,2024-07-06,4
LEV-2024-000034,PREN-1128,KUND-05127,2024-04-19,,,,Standard,Standard,2,2024-W27,2024-07-02,41358,499,Levererad,Kyckling Tikka Masala,Kycklinggryta med ris,Pasta Carbonara,Bra variation och tydliga instruktioner.,2024-07-06,4
LEV-2024-000035,PREN-1132,KUND-05131,2024-05-07,,,2024-08-12,Familj,Standard,4,2024-W27,2024-07-01,20632,719,Levererad,Chicken nuggets-sallad,Korv stroganoff,Fiskpinnar med potatismos,Perfekta portionsstorlekar och fräscha ingredienser.,2024-07-05,5
LEV-2024-000036,PREN-1136,KUND-05135,2024-06-27,,,2024-08-26,Klassisk,Laktosfri,2,2024-W27,2024-07-01,40875,529,Missad,Panerad fisk med remouladsås,Biff med bearnaise,Fläskfilé med gräddsås,"Var är min matkasse?! Ingen info, ingen leverans.",2024-07-03,1
LEV-2024-000037,PREN-1137,KUND-05136,2024-05-09,,,,Klassisk,Standard,2,2024-W27,2024-07-02,21132,499,Levererad,Laxfile med potatismos,Kyckling Tikka Masala,Biff med bearnaise,,,
LEV-2024-000038,PREN-1139,KUND-05138,2024-05-10,,,2024-09-19,Klassisk,,4,2024-W27,2024-07-03,41917,699,Levererad,Panerad fisk med remouladsås,Kycklinggryta med ris,Köttfärssås med pasta,,,
LEV-2024-000039,PREN-1144,KUND-05143,2024-05-08,,,,Snabb & Enkel,Ingen preferens,4,2024-W27,2024-07-03,40286,659,Levererad,Snabb tomatsoppa,Quesadillas,Snabb pasta pesto,"Fungerar, men recepten börjar bli repetitiva.",2024-07-09,3
LEV-2024-000040,PREN-1145,KUND-05144,2024-06-25,,,,FAMILJ,Standard,6,2024-W27,2024-07-01,41821,SEK 919,Levererad,Pannkakor med sylt,Pizza med färskost,Korv stroganoff,Snabb leverans och allt var fräscht.,2024-07-08,5
LEV-2024-000041,PREN-1159,KUND-05158,2024-04-07,,,,Klassisk,Standard,4,2024-W27,2024-07-01,80412,699,Levererad,Fläskfilé med gräddsås,Biff med bearnaise,Panerad fisk med remouladsås,Snabb leverans och allt var fräscht.,2024-07-04,5
LEV-2024-000042,PREN-1160,KUND-05159,2024-04-28,,,,FAMILJ,Laktosfri,4,2024-W27,2024-07-03,,749,Levererad,Korv stroganoff,Pizza med färskost,Köttbullar med makaroner,,,
LEV-2024-000043,PREN-1163,KUND-05162,2024-06-14,,,,Klassisk,laktosfri,6,2024-W27,2024-07-02,10157,929,Levererad,Kyckling Tikka Masala,Fläskfilé med gräddsås,Köttfärssås med pasta,,,
LEV-2024-000044,PREN-1165,KUND-05164,2024-04-22,,,,Standard,FLÄSKFRI,2,v.27,2024-07-03,10120,499 kr,Levererad,Pasta Carbonara,Biff med bearnaise,Laxfile med potatismos,,,
LEV-2024-000045,PREN-1166,KUND-05165,2024-05-14,,,2024-09-29,Familj,Standard,4,2024-W27,2024-07-03,50588,719,Levererad,Köttbullar med makaroner,Barnens favorit-pasta,Chicken nuggets-sallad,,,
LEV-2024-000046,PREN-1167,KUND-05166,2024-04-09,,,,Klassisk,Standard,4,2024-W27,2024-07-02,10140,699,Levererad,Pasta Carbonara,Fläskfilé med gräddsås,Panerad fisk med remouladsås,,,
LEV-2024-000047,PREN-1170,KUND-05169,2024-05-02,2024-06-13,2024-06-27,,Klassisk,Standard,4,2024-W27,2024-07-02,90498,699 kr,Missad,Panerad fisk med remouladsås,Biff med bearnaise,Köttfärssås med pasta,Inget paket denna vecka trots att jag betalat.,2024-07-03,1
LEV-2024-000048,PREN-1171,KUND-05170,2024-05-16,,,2024-08-08,Snabb & Enkel,Standard,2,v27,2024-07-03,40595,459,Levererad,Sallad med räkor,Snabb tomatsoppa,Wrap med kyckling,,,
LEV-2024-000049,PREN-1173,KUND-05172,2024-05-05,,,,Vegetarisk,Standard,2,2024-W27,2024-07-03,,479,Levererad,Falafel med hummus,Pasta med pesto och mozarella,Halloumisallad,,,
LEV-2024-000050,PREN-1174,KUND-05173,2024-04-20,,,,Klassisk,Standard,2,v27,2024-07-02,60891,499,Levererad,Kycklinggryta med ris,Pasta Carbonara,Panerad fisk med remouladsås,"Sådär. Några recept var bra, andra inte.",2024-07-07,3
LEV-2024-000051,PREN-1176,KUND-05175,2024-04-22,2024-06-17,2024-06-26,,Klassisk,Standard,4,vecka 27,2024-07-01,10488,699,Levererad,Panerad fisk med remouladsås,Köttfärssås med pasta,Pasta Carbonara,,,
LEV-2024-000052,PREN-1178,KUND-05177,2024-06-08,,,,FAMILJ,Laktosfri,4,2024-W27,2024-07-03,40790,749,Levererad,Köttbullar med makaroner,Pannkakor med sylt,Barnens favorit-pasta,,,
LEV-2024-000053,PREN-1179,KUND-05178,2024-06-03,,,,Familj,Standard,4,2024-W27,2024-07-01,10030,"719,00",Levererad,Pizza med färskost,Chicken nuggets-sallad,Barnens favorit-pasta,,,
LEV-2024-000054,PREN-1181,KUND-05180,2024-04-29,,,2024-08-05,Klassisk,Standard,2,2024-W27,2024-07-01,10116,499,Levererad,Köttfärssås med pasta,Fläskfilé med gräddsås,Kycklinggryta med ris,,,
LEV-2024-000055,PREN-1187,KUND-05186,2024-06-27,,,2024-07-15,Veggie,Standard,2,2024-W27,2024-07-02,21674,479,OK,Pasta med pesto och mozarella,Vegetarisk lasagne,Svamprisotto,,,
LEV-2024-000056,PREN-1196,KUND-05195,2024-06-17,,,,Familj,Laktosfri,4,2024-W27,2024-07-01,20754,749,Levererad,Fiskpinnar med potatismos,Tacos,Barnens favorit-pasta,,,
LEV-2024-000057,PREN-1197,KUND-05196,2024-06-14,,,2024-07-29,Klassisk,Standard,2,2024-W27,2024-07-01,80528,SEK 499,levererad,Biff med bearnaise,Köttfärssås med pasta,Pasta Carbonara,,,
LEV-2024-000058,PREN-1198,KUND-05197,2024-06-06,,,2024-07-15,FAMILJ,Standard,6,2024-W27,2024-07-01,10899,919,levererad,Köttbullar med makaroner,Korv stroganoff,Barnens favorit-pasta,,,
LEV-2024-000059,PREN-1201,KUND-05200,2024-04-24,,,,Familj,Standard,6,2024-W27,2024-07-03,50032,919,Levererad,Pizza med färskost,Köttbullar med makaroner,Tacos,Bra variation och tydliga instruktioner.,2024-07-09,4
LEV-2024-000060,PREN-1202,KUND-05201,2024-04-11,,,2024-08-12,Snabb & Enkel,Standard,4,2024-W27,2024-07-02,70414,659,Levererad,Snabb pasta pesto,Wrap med kyckling,Toast med avokado och ägg,,,
LEV-2024-000061,PREN-1203,KUND-05202,2024-06-26,,,2024-11-30,Klassisk,Fläskfri,4,2024-W27,2024-07-03,20274,"699,00",LEVERERAD,Fläskfilé med gräddsås,Kyckling Tikka Masala,Biff med bearnaise,"Sådär. Några recept var bra, andra inte.",2024-07-05,3
LEV-2024-000062,PREN-1204,KUND-05203,2024-04-05,,,,familj,Laktosfri,4,2024-W27,2024-07-01,41288,"749,00",Levererad,Pannkakor med sylt,Chicken nuggets-sallad,Pizza med färskost,Lagom. Varken bättre eller sämre än förväntat.,2024-07-06,3
LEV-2024-000063,PREN-1208,KUND-05207,2024-05-28,,,,Klassisk,,2,2024-W27,2024-07-01,41957,499,Levererad,Laxfile med potatismos,Fläskfilé med gräddsås,Kycklinggryta med ris,,,
LEV-2024-000064,PREN-1210,KUND-05209,2024-04-21,,,,Snabb & Enkel,Standard,4,2024-W27,2024-07-01,60383,659,Levererad,Snabb tomatsoppa,Quesadillas,15-minuters wok,,,
LEV-2024-000065,PREN-1212,KUND-05211,2024-04-16,,,,Veggie,,2,2024-W27,2024-07-01,10410,479,Levererad,Svamprisotto,Grönsaksgratäng,Pasta med pesto och mozarella,,,
LEV-2024-000066,PREN-1218,KUND-05217,2024-06-03,,,,Familj,Standard,4,2024-W27,2024-07-03,10027,719,Levererad,Fiskpinnar med potatismos,Pizza med färskost,Tacos,,,
LEV-2024-000067,PREN-1219,KUND-05218,2024-06-22,,,,Vegetarisk,Laktosfri,0,2024-W27,2024-07-02,10294,709,Levererad,Vegetarisk lasagne,Thai-curry med tofu,Halloumisallad,,,
LEV-2024-000068,PREN-1002,KUND-05001,2024-04-10,,,,Classic,Inga,4,2024-W28,2024-07-08,,699,Levererad,Fläskfilé med gräddsås,Kycklinggryta med ris,Kyckling Tikka Masala,Bästa matkassen vi testat. Rekommenderas!,2024-07-15,4
LEV-2024-000069,PREN-1003,KUND-05002,2024-06-12,,,2024-07-23,Family,Standard,6,2024-W28,2024-07-09,40545,919,levererad,Köttbullar med makaroner,Korv stroganoff,Barnens favorit-pasta,Ingredienserna var inte fräscha. Salladen var vissen.,2024-07-16,2
LEV-2024-000070,PREN-1006,KUND-05005,2024-07-08,,,2024-08-26,Klassisk,Standard,2,2024-W28,2024-07-09,11395,499,levererad,Köttfärssås med pasta,Laxfile med potatismos,Pasta Carbonara,,,
LEV-2024-000071,PREN-1011,KUND-05010,2024-05-11,,,2024-07-16,Vegetarisk,Laktosfri,4,2024-W28,2024-07-09,10686,709,Levererad,Vegetarisk lasagne,Svamprisotto,Halloumisallad,,,
LEV-2024-000072,PREN-1017,KUND-05016,2024-05-26,,,,Snabb & Enkel,unknown,4,2024-W28,2024-07-08,40695,689,Levererad,Ramen-nudlar,Toast med avokado och ägg,Snabb tomatsoppa,,,
LEV-2024-000073,PREN-1018,KUND-05017,2024-05-02,,,2024-08-19,Klassisk,,2,2024-W28,2024-07-09,21938,499,Levererad,Laxfile med potatismos,Biff med bearnaise,Kycklinggryta med ris,,,
LEV-2024-000074,PREN-1023,KUND-05022,2024-04-21,,,,Klassisk,Glutenfri,4,2024-W28,2024-07-08,10811,749,Levererad,Fläskfilé med gräddsås,Kyckling Tikka Masala,Biff med bearnaise,Gott men för lite grönsaker i familjevarianten.,2024-07-12,3
LEV-2024-000075,PREN-1024,KUND-05023,2024-05-14,,,2024-08-05,Klassisk,Standard,6,2024-W28,2024-07-10,60258,899,Levererad,Kycklinggryta med ris,Kyckling Tikka Masala,Köttfärssås med pasta,,,
LEV-2024-000076,PREN-1029,KUND-05028,2024-06-17,,,,Vegetarian,Nötfri,"""6""",2024-W28,2024-07-09,,899,Levererad,Falafel med hummus,Vegansk burrito bowl,Vegetarisk lasagne,Överraskad över hur gott det blev! Ny favoriträtt.,2024-07-14,4
LEV-2024-000077,PREN-1032,KUND-05031,2024-05-11,,,,Klassisk,Inga,4,2024-W28,2024-07-08,S-10474,699,Levererad,Fläskfilé med gräddsås,Panerad fisk med remouladsås,Köttfärssås med pasta,,,
LEV-2024-000078,PREN-1033,KUND-05032,2024-04-25,,,,Vegetarisk,Glutenfri,2,2024-W28,2024-07-08,11291,529,Levererad,Vegetarisk lasagne,Svamprisotto,Thai-curry med tofu,,,
LEV-2024-000079,PREN-1035,KUND-05034,2024-05-09,,,2024-07-22,Klassisk,,2,2024-W28,2024-07-10,60055,499,Missad,Panerad fisk med remouladsås,Köttfärssås med pasta,Biff med bearnaise,Leveransen kom aldrig fram. Helt oacceptabelt!,2024-07-13,1
LEV-2024-000080,PREN-1038,KUND-05037,2024-06-09,,,2024-08-05,Klassisk,Laktosfri,2,2024-W28,2024-07-09,10738,529,Levererad,Panerad fisk med remouladsås,Biff med bearnaise,Pasta Carbonara,,,
LEV-2024-000081,PREN-1039,KUND-05038,2024-05-29,,,,Klassisk,standard,2,2024-W28,2024-07-09,50454,499,Levererad,Biff med bearnaise,Kyckling Tikka Masala,Kycklinggryta med ris,,,
LEV-2024-000082,PREN-1054,KUND-05053,2024-05-11,,,,Familj,Inga,4,v28,2024-07-09,21617,719,Levererad,Pizza med färskost,Korv stroganoff,Fiskpinnar med potatismos,"Sådär. Några recept var bra, andra inte.",2024-07-16,3
LEV-2024-000083,PREN-1055,KUND-05054,2024-04-07,,,,Snabb & Enkel,LAKTOSFRI,2 st,2024-W28,2024-07-08,10548,489,Levererad,Snabb tomatsoppa,15-minuters wok,Toast med avokado och ägg,,,
LEV-2024-000084,PREN-1062,KUND-05061,2024-06-20,,,,Vegetarisk,Nötfri,2,2024-W28,2024-07-08,70319,499,Levererad,Halloumisallad,Svamprisotto,Vegetarisk lasagne,,,
LEV-2024-000085,PREN-1068,KUND-05067,2024-06-12,,,2024-08-05,Snabb & Enkel,Laktosfri,2,2024-W28,2024-07-08,10320,489,Levererad,Quesadillas,Snabb pasta pesto,Wrap med kyckling,"Bra vissa veckor, sämre andra. Ojämnt.",2024-07-10,3
LEV-2024-000086,PREN-1071,KUND-05070,2024-06-19,,,2024-07-22,Klassisk,Standard,0,2024-W28,2024-07-09,10898,499,Levererad,Köttfärssås med pasta,Kyckling Tikka Masala,Panerad fisk med remouladsås,Goda recept denna vecka! Speciellt Köttfärssås med pasta.,2024-07-12,4
LEV-2024-000087,PREN-1076,KUND-05075,2024-04-23,,,,Snabb & Enkel,Standard,0,2024-W28,2024-07-09,21938,659,Levererad,Sallad med räkor,Quesadillas,Ramen-nudlar,,,
LEV-2024-000088,PREN-1077,KUND-05076,2024-06-17,,,2024-09-10,Snabb & Enkel,N/A,2,2024-W28,2024-07-08,40922,459,Levererad,Snabb pasta pesto,Toast med avokado och ägg,Sallad med räkor,,,
LEV-2024-000089,PREN-1080,KUND-05079,2024-04-20,,,2024-08-19,Klassisk,Laktosfri,4,v28,2024-07-09,50466,729,Levererad,Biff med bearnaise,Pasta Carbonara,Panerad fisk med remouladsås,,,
LEV-2024-000090,PREN-1084,KUND-05083,2024-06-23,,,,Familj,Glutenfri,4,2024-W28,2024-07-08,40494,769,Levererad,Korv stroganoff,Köttbullar med makaroner,Tacos,,,
LEV-2024-000091,PREN-1086,KUND-05085,2024-05-20,,,2024-07-22,Vegetarisk,Standard,4,2024-W28,2024-07-08,11036,679,Levererad,Falafel med hummus,Halloumisallad,Thai-curry med tofu,,,
LEV-2024-000092,PREN-1088,KUND-05087,2024-04-25,,,,Klassisk,Glutenfri,2,2024-W28,2024-07-10,70273,549,Levererad,Kyckling Tikka Masala,Laxfile med potatismos,Panerad fisk med remouladsås,Snabb leverans och allt var fräscht.,2024-07-13,4
LEV-2024-000093,PREN-1092,KUND-05091,2024-06-23,,,,Quick,Fläskfri,2,2024-W28,2024-07-08,11615,459,Levererad,Wrap med kyckling,Toast med avokado och ägg,15-minuters wok,,,
LEV-2024-000094,PREN-1094,KUND-05093,2024-04-27,,,,30-min,Standard,4,2024-W28,2024-07-09,20262,659,Levererad,Toast med avokado och ägg,Wrap med kyckling,Snabb pasta pesto,Tråkiga recept i snabb-kassen. Ingen inspiration.,2024-07-15,2
LEV-2024-000095,PREN-1097,KUND-05096,2024-04-27,,,,Familj,Laktosfri,4,2024-W28,2024-07-10,10413,749,Levererad,Barnens favorit-pasta,Fiskpinnar med potatismos,Pizza med färskost,,,
LEV-2024-000096,PREN-1098,KUND-05097,2024-06-03,,,,Vegetarisk,Standard,4,2024-W28,2024-07-08,10188,679,Levererad,Svamprisotto,Vegansk burrito bowl,Pasta med pesto och mozarella,Snabb leverans och allt var fräscht.,2024-07-13,5
LEV-2024-000097,PREN-1100,KUND-05099,2024-05-12,,,2024-04-17,Klassisk,Nut free,6,2024-W28,2024-07-08,10698,919,Levererad,Kycklinggryta med ris,Fläskfilé med gräddsås,Pasta Carbonara,,,
LEV-2024-000098,PREN-1114,KUND-05113,2024-04-07,,,,Standard,Standard,6,2024-W28,2024-07-08,41318,899,Levererad,Biff med bearnaise,Laxfile med potatismos,Fläskfilé med gräddsås,,,
LEV-2024-000099,PREN-1123,KUND-05122,2024-04-25,,,2024-08-12,Familj,Standard,4,2024-W28,2024-07-09,S-41281,719,Missad,Köttbullar med makaroner,Barnens favorit-pasta,Korv stroganoff,Missad leverans IGEN. Funderar på att avsluta.,2024-07-10,1
LEV-2024-000100,PREN-1125,KUND-05124,2024-05-26,,,2024-07-29,Klassisk,unknown,4,2024-W28,2024-07-08,11857,699,Levererad,Biff med bearnaise,Fläskfilé med gräddsås,Laxfile med potatismos,,,
LEV-2024-000101,PREN-1128,KUND-05127,2024-04-19,,,,Klassisk,Standard,2,2024-W28,2024-07-10,41358,499,Levererad,Biff med bearnaise,Panerad fisk med remouladsås,Köttfärssås med pasta,Älskar att slippa planera middagar. Tack!,2024-07-16,4
LEV-2024-000102,PREN-1132,KUND-05131,2024-05-07,,,2024-08-12,Familj,Standard,4,2024-W28,2024-07-08,20632,719,Levererad,Korv stroganoff,Barnens favorit-pasta,Chicken nuggets-sallad,,,
LEV-2024-000103,PREN-1136,KUND-05135,2024-06-27,,,2024-08-26,Klassisk,Laktosfri,2,2024-W28,2024-07-08,40875,529,Levererad,Biff med bearnaise,Fläskfilé med gräddsås,Panerad fisk med remouladsås,,,
LEV-2024-000104,PREN-1137,KUND-05136,2024-05-09,,,,Klassisk,Standard,2 st,2024-W28,2024-07-10,21132,499,OK,Kycklinggryta med ris,Laxfile med potatismos,Panerad fisk med remouladsås,,,
LEV-2024-000105,PREN-1139,KUND-05138,2024-05-10,,,2024-09-19,Klassisk,Standard,4,2024-W28,2024-07-08,41917,699,Levererad,Kycklinggryta med ris,Köttfärssås med pasta,Pasta Carbonara,,,
LEV-2024-000106,PREN-1144,KUND-05143,2024-05-08,,,,Snabb & Enkel,Standard,0,2024-W28,2024-07-08,40286,659,Levererad,Wrap med kyckling,15-minuters wok,Toast med avokado och ägg,,,
LEV-2024-000107,PREN-1145,KUND-05144,2024-06-25,,,,FAMILJ,Standard,6,2024-W28,2024-07-10,41821,919,Levererad,Chicken nuggets-sallad,Pannkakor med sylt,Korv stroganoff,,,
LEV-2024-000108,PREN-1146,KUND-05145,2024-07-03,,,,KLASSISK,Fläskfri,2,2024-W28,2024-07-10,41338,499,Levererad,Panerad fisk med remouladsås,Kycklinggryta med ris,Kyckling Tikka Masala,,,
LEV-2024-000109,PREN-1154,KUND-05153,2024-07-06,,,2024-08-03,Klassisk,Standard,2,2024-W28,2024-07-09,40528,499,Levererad,Kycklinggryta med ris,Biff med bearnaise,Pasta Carbonara,"Fungerar, men recepten börjar bli repetitiva.",2024-07-14,3
LEV-2024-000110,PREN-1159,KUND-05158,2024-04-07,,,,Klassisk,N/A,4,2024-W28,2024-07-09,80412,699,Levererad,Pasta Carbonara,Köttfärssås med pasta,Fläskfilé med gräddsås,Äntligen vegetariska recept som hela familjen gillar.,2024-07-11,4
LEV-2024-000111,PREN-1160,KUND-05159,2024-04-28,,,,familj,Laktosfri,4,2024-W28,2024-07-10,10853,"749,00",Levererad,Köttbullar med makaroner,Chicken nuggets-sallad,Pizza med färskost,,,
LEV-2024-000112,PREN-1163,KUND-05162,2024-06-14,,,,Klassisk,Laktosfri,6,2024-W28,2024-07-08,10157,929,Levererad,Pasta Carbonara,Kycklinggryta med ris,Kyckling Tikka Masala,,,
LEV-2024-000113,PREN-1165,KUND-05164,2024-04-22,,,,Klassisk,Fläskfri,2,v.28,2024-07-09,10120,499,Levererad,Laxfile med potatismos,Biff med bearnaise,Pasta Carbonara,,,
